1157,38,1279,38,1279,64,1157,64
911,47,1098,47,1098,74,911,74
198,85,748,79,749,121,198,126
1279,83,1353,83,1353,133,1279,133
1178,186,1286,182,1287,206,1179,210
1330,186,1483,186,1483,208,1330,208
387,200,554,200,554,227,387,227
90,208,289,208,289,236,90,236
707,208,1040,203,1041,296,708,300
1358,248,1456,248,1456,272,1358,272
1164,251,1263,251,1263,275,1164,275
93,255,284,255,284,289,93,289
329,257,547,253,548,285,330,290
1330,337,1475,337,1475,358,1330,358
1160,344,1241,344,1241,366,1160,366
880,366,1057,366,1057,392,880,392
1373,370,1428,370,1428,409,1373,409
1186,380,1241,380,1241,418,1186,418
925,397,1033,397,1033,430,925,430
140,421,722,414,722,443,141,450
1150,466,1239,466,1239,488,1150,488
1361,464,1452,464,1452,485,1361,485
509,548,736,544,737,570,509,574
140,568,392,562,392,587,141,594
521,598,767,592,768,623,521,629
155,607,315,603,316,631,155,634
1052,607,1253,607,1253,629,1052,629
